Protein.IDs,Majority.protein.IDs,gene,rectum
CON__A2A4G1,CON__A2A4G1,NA,0
CON__A2A5Y0,CON__A2A5Y0,NA,720400
CON__A2AB72,CON__A2AB72,NA,84284
CON__A2VCT4,CON__A2VCT4,NA,0
CON__A3EZ79,CON__A3EZ79,NA,0
ENSP00000342012.3;CON__A3EZ82,ENSP00000342012.3;CON__A3EZ82,DMKN; NA,0
CON__ENSEMBL:ENSBTAP00000001528,CON__ENSEMBL:ENSBTAP00000001528,bovine,494510
CON__ENSEMBL:ENSBTAP00000006074,CON__ENSEMBL:ENSBTAP00000006074,bovine,0
CON__ENSEMBL:ENSBTAP00000024146,CON__ENSEMBL:ENSBTAP00000024146,bovine,12960000
CON__ENSEMBL:ENSBTAP00000025008,CON__ENSEMBL:ENSBTAP00000025008,bovine,0
CON__ENSEMBL:ENSBTAP00000031900,CON__ENSEMBL:ENSBTAP00000031900,bovine,10974000
CON__ENSEMBL:ENSBTAP00000038253,CON__ENSEMBL:ENSBTAP00000038253,bovine,0
CON__H-INV:HIT000015463,CON__H-INV:HIT000015463,NA,0
CON__H-INV:HIT000292931,CON__H-INV:HIT000292931,NA,0
ENSP00000444533.1;ENSP00000293525.5;CON__O43790,ENSP00000444533.1;ENSP00000293525.5;CON__O43790,AC021066.1; AC021066.1; KRT86,3448300
ENSP00000377555.2;ENSP00000329165.6;CON__O76013,ENSP00000377555.2;ENSP00000329165.6;CON__O76013,KRT36; KRT36; KRT36,0
ENSP00000246646.2;CON__O76015,ENSP00000246646.2;CON__O76015,KRT38; KRT38,0
CON__O95678;ENSP00000252245.5,CON__O95678;ENSP00000252245.5,K2C75; KRT75,1100900
CON__P00761,CON__P00761,NA,1.8628e+10
CON__P01966,CON__P01966,NA,1960300000
CON__P02070,CON__P02070,NA,186510000
ENSP00000167586.6;CON__P02533,ENSP00000167586.6;CON__P02533,KRT14; K1C14,987860000
CON__P02535-1,CON__P02535-1,NA,0
ENSP00000369317.3;CON__P02538;ENSP00000446881.1,ENSP00000369317.3;CON__P02538,KRT6A; K2C6A; KRT72,0
CON__P02584,CON__P02584,NA,911010
CON__P02662,CON__P02662,NA,3321900
CON__P02663,CON__P02663,NA,0
CON__P02666,CON__P02666,NA,0
CON__P02668,CON__P02668,NA,0
CON__P02676,CON__P02676,NA,0
CON__P02754,CON__P02754,NA,0
ENSP00000295897.4;CON__P02768-1;ENSP00000426179.1;ENSP00000421027.1;ENSP00000401820.2,ENSP00000295897.4;CON__P02768-1;ENSP00000426179.1;ENSP00000421027.1;ENSP00000401820.2,ALB; NA; ALB; ALB; ALB,5.0728e+10
CON__P02769,CON__P02769,NA,9599000
CON__P02777,CON__P02777,NA,0
CON__P04258,CON__P04258,NA,0
CON__P04259,CON__P04259,K2C6B,2400200
CON__P05784,CON__P05784,NA,3902200
ENSP00000447566.1;ENSP00000447402.1;ENSP00000293308.6;CON__P05787;ENSP00000449404.1;ENSP00000447881.1;ENSP00000447040.1;ENSP00000450340.1;CON__H-INV:HIT000016045;ENSP00000449010.2;ENSP00000450228.1,ENSP00000447566.1;ENSP00000447402.1;ENSP00000293308.6;CON__P05787;ENSP00000449404.1;ENSP00000447881.1;ENSP00000447040.1,KRT8; KRT8; KRT8; K2C8; KRT8; KRT8; KRT8; KRT8; NA; KRT8; KRT8,1.1246e+10
CON__P06868,CON__P06868,NA,422640
ENSP00000479217.1;ENSP00000308720.7;CON__P07477;ENSP00000487956.1;ENSP00000417854.1;ENSP00000481361.1;ENSP00000478237.1,ENSP00000479217.1;ENSP00000308720.7;CON__P07477;ENSP00000487956.1;ENSP00000417854.1;ENSP00000481361.1;ENSP00000478237.1,PRSS1; PRSS1; TRY1; PRSS1; PRSS1; PRSS1; PRSS1,0
CON__P08727,CON__P08727,K1C19,5480200000
CON__P08729,CON__P08729,K2C7,0
CON__P08730-1,CON__P08730-1,NA,12038000
ENSP00000301653.3;CON__P08779;ENSP00000467124.1;ENSP00000467105.1,ENSP00000301653.3;CON__P08779,KRT16; K1C16; KRT16; KRT16,127840000
CON__P12763,CON__P12763,NA,950540
ENSP00000269576.5;CON__P13645,ENSP00000269576.5;CON__P13645,KRT10; K1C10,226600000
CON__P13646-1;ENSP00000466525.1,CON__P13646-1,NA; KRT13,14982000
ENSP00000252242.4;CON__P13647;ENSP00000447209.1;ENSP00000448767.1;ENSP00000449783.1;ENSP00000449651.1,ENSP00000252242.4;CON__P13647,KRT5; K2C5; KRT5; KRT5; KRT5; KRT5,169640000
CON__P19001,CON__P19001,NA,0
CON__P19012,CON__P19012,K1C15,5960200
ENSP00000448220.1;CON__P19013;ENSP00000449755.1;ENSP00000447320.1,ENSP00000448220.1;CON__P19013,KRT4; K2C4; KRT4; KRT4,13508000
ENSP00000357789.1;CON__P20930,ENSP00000357789.1;CON__P20930,FLG; FILA,1051.2
ENSP00000460501.2;ENSP00000167588.3;CON__P35900,ENSP00000460501.2;ENSP00000167588.3;CON__P35900,KRT20; KRT20; K1C20,2615600000
ENSP00000252250.6;CON__P48668,ENSP00000252250.6;CON__P48668,KRT6C; K2C6C,824290000
CON__P50446,CON__P50446,NA,0
CON__P78385,CON__P78385,KRT83,0
ENSP00000257901.3;CON__P78386;ENSP00000440240.1,ENSP00000257901.3;CON__P78386;ENSP00000440240.1,KRT85; KRT85; KRT85,5159900
CON__Q01546,CON__Q01546,K22O,0
CON__Q03247,CON__Q03247,NA,0
ENSP00000308452.8;CON__Q04695;ENSP00000441751.2;ENSP00000467418.1;ENSP00000468672.1,ENSP00000308452.8;CON__Q04695;ENSP00000441751.2,KRT17; K1C17; KRT17; KRT17; KRT17,27289000
CON__Q29443;CON__Q0IIK2,CON__Q29443;CON__Q0IIK2,NA; NA,0
CON__Q0V8M9,CON__Q0V8M9,NA,0
ENSP00000459509.1;ENSP00000251646.3;CON__Q14525,ENSP00000459509.1;ENSP00000251646.3;CON__Q14525,KRT33B; KRT33B; KT33B,28482000
CON__Q14533;ENSP00000483796.1;ENSP00000369349.4,CON__Q14533;ENSP00000483796.1;ENSP00000369349.4,KRT81; KRT81; KRT81,0
ENSP00000441160.2;ENSP00000293745.2;CON__Q14CN4-1;ENSP00000346269.4,ENSP00000441160.2;ENSP00000293745.2;CON__Q14CN4-1;ENSP00000346269.4,KRT72; KRT72; NA; KRT72,0
ENSP00000460739.1;ENSP00000251645.2;CON__Q9UE12;CON__Q15323,ENSP00000460739.1;ENSP00000251645.2;CON__Q9UE12;CON__Q15323,KRT31; KRT31; NA; K1H1,7423900
CON__Q1RMN8,CON__Q1RMN8,NA,0
CON__Q28107,CON__Q28107,NA,1188800
CON__Q28194,CON__Q28194,NA,0
CON__Q29RQ1,CON__Q29RQ1,NA,0
CON__Q2KIS7,CON__Q2KIS7,NA,0
CON__Q2KJC7,CON__Q2KJC7,NA,0
ENSP00000264651.2;CON__Q2M2I5,ENSP00000264651.2;CON__Q2M2I5,KRT24; K1C24,0
CON__Q2UVX4,CON__Q2UVX4,NA,2104800
CON__Q2YDI2,CON__Q2YDI2,NA,0
ENSP00000307014.3;CON__Q32MB2;ENSP00000449081.1,ENSP00000307014.3;CON__Q32MB2;ENSP00000449081.1,KRT73; NA; KRT73,0
CON__Q32PJ2,CON__Q32PJ2,NA,8415300
ENSP00000329243.5;CON__Q3KNV1,ENSP00000329243.5;CON__Q3KNV1,KRT7; NA,32123000
CON__Q3KUS7,CON__Q3KUS7,NA,3127700
ENSP00000334985.2;CON__Q3LI72,ENSP00000334985.2;CON__Q3LI72,KRTAP19-5; KR195,0
CON__Q3MHH8,CON__Q3MHH8,NA,0
CON__Q3SX14,CON__Q3SX14,NA,0
CON__Q3SX28,CON__Q3SX28,NA,626240
ENSP00000267119.5;CON__Q3SY84,ENSP00000267119.5;CON__Q3SY84,KRT71; K2C71,0
CON__Q3TTY5,CON__Q3TTY5,NA,0
CON__Q9Z2K1;CON__Q3ZAW8,CON__Q9Z2K1;CON__Q3ZAW8,NA; NA,15460000
CON__Q3ZBD7,CON__Q3ZBD7,NA,82992000
CON__Q497I4,CON__Q497I4,NA,1934500
ENSP00000373370.4;CON__Q5D862,ENSP00000373370.4;CON__Q5D862,FLG2; FILA2,6084600
CON__Q61726;ENSP00000452237.3,CON__Q61726,NA; AC021066.1,781230
CON__Q61782,CON__Q61782,NA,0
ENSP00000479080.1;ENSP00000459621.2;ENSP00000381500.2;ENSP00000366984.4;CON__Q6IFU5;ENSP00000458481.1;ENSP00000434458.1,ENSP00000479080.1;ENSP00000459621.2;ENSP00000381500.2;ENSP00000366984.4;CON__Q6IFU5;ENSP00000458481.1;ENSP00000434458.1,KRT40; KRT40; KRT40; KRT40; NA; KRT40; KRT40,0
CON__Q6IFX2,CON__Q6IFX2,NA,0
CON__Q6IFZ6,CON__Q6IFZ6,NA,0
CON__Q6IME9;ENSP00000449324.1,CON__Q6IME9,NA; KRT72,4847100
ENSP00000369361.2;ENSP00000378292.2;CON__Q6KB66-1,ENSP00000369361.2;ENSP00000378292.2;CON__Q6KB66-1,KRT80; KRT80; NA,17256000
ENSP00000293670.3;CON__Q6NT21,ENSP00000293670.3;CON__Q6NT21,KRT83; NA,0
ENSP00000305263.7;CON__Q7Z3Y7,ENSP00000305263.7;CON__Q7Z3Y7,KRT28; K1C28,0
ENSP00000334798.4;CON__Q7Z3Y9,ENSP00000334798.4;CON__Q7Z3Y9,KRT26; K1C26,0
ENSP00000310573.4;CON__Q7Z3Z0,ENSP00000310573.4;CON__Q7Z3Z0,KRT25; K1C25,0
CON__Q7Z794;ENSP00000342710.3,CON__Q7Z794;ENSP00000342710.3,K2C1B; KRT77,403140
ENSP00000357791.2;CON__Q86YZ3,ENSP00000357791.2;CON__Q86YZ3,HRNR; HORN,70899
CON__Q8BGZ7,CON__Q8BGZ7,NA,0
ENSP00000463483.1;ENSP00000377616.3;CON__Q8N1A0;ENSP00000464647.1;ENSP00000463865.1;ENSP00000377613.1,ENSP00000463483.1;ENSP00000377616.3;CON__Q8N1A0,AC073508.2; KRT222; KT222; KRT222; KRT222; KRT222,0
CON__Q8VED5,CON__Q8VED5,NA,0
CON__Q922U2,CON__Q922U2,NA,0
CON__Q95121,CON__Q95121,NA,0
ENSP00000459559.2;ENSP00000251643.4;CON__Q99456,ENSP00000459559.2;ENSP00000251643.4;CON__Q99456,KRT12; KRT12; K1C12,105930
CON__Q99PS0,CON__Q99PS0,NA,0
ENSP00000459021.1;ENSP00000209718.3;CON__Q9C075;ENSP00000460637.2;ENSP00000414056.3;ENSP00000468798.1;ENSP00000467393.1;ENSP00000464548.1;ENSP00000463052.1;ENSP00000462542.1;ENSP00000462335.1,ENSP00000459021.1;ENSP00000209718.3;CON__Q9C075;ENSP00000460637.2;ENSP00000414056.3,KRT23; KRT23; K1C23; KRT23; KRT23; KRT23; KRT23; KRT23; KRT23; KRT23; KRT23,48209000
CON__Q9D646,CON__Q9D646,NA,0
CON__Q9DCV7,CON__Q9DCV7,NA,0
CON__Q9H552,CON__Q9H552,NA,0
ENSP00000257974.2;CON__Q9NSB4,ENSP00000257974.2;CON__Q9NSB4,KRT82; KRT82,1950400
CON__Q9TRI1,CON__Q9TRI1,NA,320780
CON__Q9TT36,CON__Q9TT36,NA,0
CON__REFSEQ:XP_092267,CON__REFSEQ:XP_092267,NA,0
CON__REFSEQ:XP_585019,CON__REFSEQ:XP_585019,NA,0
CON__REFSEQ:XP_986630,CON__REFSEQ:XP_986630,NA,399990
ENSP00000000233.5;ENSP00000412701.1;ENSP00000446353.1;ENSP00000420655.1,ENSP00000000233.5;ENSP00000412701.1,ARF5; ARF5; ARF3; ARF4,163620000
ENSP00000000412.3;ENSP00000440488.2;ENSP00000441030.1;ENSP00000440962.1;ENSP00000442100.1;ENSP00000437595.1;ENSP00000442983.1;ENSP00000444684.1,ENSP00000000412.3;ENSP00000440488.2;ENSP00000441030.1;ENSP00000440962.1;ENSP00000442100.1,M6PR; M6PR; M6PR; M6PR; M6PR; M6PR; M6PR; M6PR,49886000
ENSP00000384851.1;ENSP00000000442.6;ENSP00000385971.1;ENSP00000444710.1;ENSP00000439896.1;ENSP00000441970.1,ENSP00000384851.1;ENSP00000000442.6;ENSP00000385971.1;ENSP00000444710.1,ESRRA; ESRRA; ESRRA; ESRRA; ESRRA; ESRRA,5079600
ENSP00000001008.4;ENSP00000446368.1;ENSP00000486800.1;ENSP00000439703.1;ENSP00000438491.1,ENSP00000001008.4,FKBP4; FKBP4; FKBP4; FKBP4; FKBP4,437420000
ENSP00000002125.4;ENSP00000394436.1;ENSP00000337431.6;ENSP00000399207.1;ENSP00000402959.1;ENSP00000410181.1;ENSP00000412942.1;ENSP00000416594.1,ENSP00000002125.4;ENSP00000394436.1;ENSP00000337431.6;ENSP00000399207.1,NDUFAF7; NDUFAF7; NDUFAF7; NDUFAF7; NDUFAF7; NDUFAF7; NDUFAF7; NDUFAF7,35205000
ENSP00000002165.5;ENSP00000398119.1,ENSP00000002165.5,FUCA2; FUCA2,10642000
ENSP00000409859.1;ENSP00000002829.3;ENSP00000388931.1;ENSP00000398399.1;ENSP00000392588.1;ENSP00000416356.1;ENSP00000400549.1,ENSP00000409859.1;ENSP00000002829.3;ENSP00000388931.1;ENSP00000398399.1,SEMA3F; SEMA3F; SEMA3F; SEMA3F; SEMA3F; SEMA3F; SEMA3F,0
ENSP00000003084.6;ENSP00000389119.1;ENSP00000419254.1;ENSP00000417012.1,ENSP00000003084.6;ENSP00000389119.1,CFTR; CFTR; CFTR; CFTR,26452
ENSP00000003100.8;ENSP00000406757.1;ENSP00000412536.1,ENSP00000003100.8;ENSP00000406757.1,CYP51A1; CYP51A1; AC000120.3,9970700
ENSP00000003302.4;ENSP00000445743.1;ENSP00000442257.1;ENSP00000441513.1;ENSP00000440799.1;ENSP00000445722.1;ENSP00000440260.1;ENSP00000437688.1;ENSP00000438050.1;ENSP00000446284.1;ENSP00000437450.1,ENSP00000003302.4;ENSP00000445743.1,USP28; USP28; USP28; USP28; USP28; USP28; USP28; USP28; USP28; USP28; USP28,564840
ENSP00000392225.1;ENSP00000416176.1;ENSP00000003583.8;ENSP00000363530.1;ENSP00000337461.4,ENSP00000392225.1;ENSP00000416176.1;ENSP00000003583.8;ENSP00000363530.1;ENSP00000337461.4,STPG1; STPG1; STPG1; STPG1; STPG1,0
ENSP00000003912.3;ENSP00000363520.4,ENSP00000003912.3;ENSP00000363520.4,NIPAL3; NIPAL3,0
ENSP00000430464.1;ENSP00000419140.1;ENSP00000004531.10,ENSP00000430464.1;ENSP00000419140.1;ENSP00000004531.10,SLC7A2; SLC7A2; SLC7A2,618200
ENSP00000468057.1;ENSP00000004982.3;ENSP00000467169.1,ENSP00000468057.1;ENSP00000004982.3;ENSP00000467169.1,HSPB6; HSPB6; HSPB6,9.864e+09
ENSP00000346613.6;ENSP00000387998.2;ENSP00000344483.7;ENSP00000005082.9;ENSP00000435828.1;ENSP00000382511.4;ENSP00000477630.1;ENSP00000433911.1;ENSP00000431937.1;ENSP00000435741.1;ENSP00000432720.1;ENSP00000435093.1;ENSP00000432552.1;ENSP00000482411.1;ENSP00000436384.1;ENSP00000414353.2;ENSP00000435153.1;ENSP00000437265.1;ENSP00000390663.2;ENSP00000434715.1;ENSP00000434006.1,ENSP00000346613.6;ENSP00000387998.2;ENSP00000344483.7;ENSP00000005082.9;ENSP00000435828.1;ENSP00000382511.4;ENSP00000477630.1;ENSP00000433911.1;ENSP00000431937.1;ENSP00000435741.1;ENSP00000432720.1;ENSP00000435093.1;ENSP00000432552.1;ENSP00000482411.1;ENSP00000436384.1;ENSP00000414353.2;ENSP00000435153.1;ENSP00000437265.1;ENSP00000390663.2;ENSP00000434715.1;ENSP00000434006.1,ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195; ZNF195,0
ENSP00000005178.5,ENSP00000005178.5,PDK4,15182000
ENSP00000005226.7;ENSP00000317018.4;ENSP00000436934.1;ENSP00000432236.1;ENSP00000437128.1,ENSP00000005226.7;ENSP00000317018.4;ENSP00000436934.1;ENSP00000432236.1,USH1C; USH1C; USH1C; USH1C; USH1C,17586000
ENSP00000005257.2;ENSP00000413227.1;ENSP00000388975.1;ENSP00000407062.1;ENSP00000487037.1;ENSP00000393782.1,ENSP00000005257.2;ENSP00000413227.1;ENSP00000388975.1;ENSP00000407062.1,RALA; RALA; RALA; RALB; RALB; RALB,11267000
ENSP00000368412.2;ENSP00000005259.4;ENSP00000418993.1;ENSP00000409350.1;ENSP00000400718.2;ENSP00000368414.2;ENSP00000414164.2;ENSP00000418816.1;ENSP00000390733.1;ENSP00000395828.1;ENSP00000420313.1;ENSP00000420365.1,ENSP00000368412.2;ENSP00000005259.4;ENSP00000418993.1;ENSP00000409350.1;ENSP00000400718.2;ENSP00000368414.2;ENSP00000414164.2;ENSP00000418816.1,BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29; BCAP29,86735000
ENSP00000005260.8,ENSP00000005260.8,BAIAP2L1,31481000
ENSP00000005284.3,ENSP00000005284.3,CACNG3,0
ENSP00000405823.2;ENSP00000005286.4;ENSP00000437848.1;ENSP00000439716.1,ENSP00000405823.2;ENSP00000005286.4,TMEM132A; TMEM132A; TMEM132A; TMEM132A,40162
ENSP00000005340.4;ENSP00000459797.1;ENSP00000459991.1;ENSP00000458209.1;ENSP00000458465.1,ENSP00000005340.4;ENSP00000459797.1;ENSP00000459991.1,DVL2; DVL2; DVL2; DVL2; DVL2,14758000
ENSP00000005386.3;ENSP00000370024.4;ENSP00000401823.3,ENSP00000005386.3;ENSP00000370024.4;ENSP00000401823.3,RPAP3; RPAP3; RPAP3,16589000
ENSP00000384477.3;ENSP00000005558.4;ENSP00000483255.1;ENSP00000439188.1;ENSP00000397314.1;ENSP00000437250.1;ENSP00000402177.1;ENSP00000403203.1,ENSP00000384477.3;ENSP00000005558.4;ENSP00000483255.1;ENSP00000439188.1,IFRD1; IFRD1; IFRD1; IFRD1; IFRD1; IFRD1; IFRD1; NA,110970
ENSP00000005587.2;ENSP00000408163.1,ENSP00000005587.2,SKAP2; SKAP2,775620
ENSP00000005756.4;ENSP00000474090.1,ENSP00000005756.4;ENSP00000474090.1,UPP2; UPP2,0
ENSP00000489492.1;ENSP00000460351.1;ENSP00000489315.1;ENSP00000005995.3;ENSP00000489314.1;ENSP00000458341.1;ENSP00000489081.1;ENSP00000407741.3,ENSP00000489492.1;ENSP00000460351.1;ENSP00000489315.1;ENSP00000005995.3,PRSS21; PRSS21; PRSS21; PRSS21; PRSS21; PRSS21; PRSS21; PRSS21,0
ENSP00000448962.1;ENSP00000006015.3,ENSP00000448962.1;ENSP00000006015.3,HOXA11; HOXA11,0
ENSP00000468612.1;ENSP00000006275.3,ENSP00000468612.1;ENSP00000006275.3,TRAPPC6A; TRAPPC6A,0
ENSP00000006526.6;ENSP00000387236.1;ENSP00000406606.1,ENSP00000006526.6;ENSP00000387236.1,WDR54; WDR54; NA,40285000
ENSP00000483295.1;ENSP00000489591.1;ENSP00000348878.4;ENSP00000006658.6;ENSP00000489476.1;ENSP00000425271.1;ENSP00000424538.1,ENSP00000483295.1;ENSP00000489591.1;ENSP00000348878.4;ENSP00000006658.6;ENSP00000489476.1,SPATA20; SPATA20; SPATA20; SPATA20; SPATA20; SPATA20; SPATA20,11030000
ENSP00000385932.1;ENSP00000006724.3;ENSP00000469597.1,ENSP00000385932.1;ENSP00000006724.3,CEACAM7; CEACAM7; CEACAM7,185560000
ENSP00000006750.3;ENSP00000376544.3;ENSP00000245862.2,ENSP00000006750.3;ENSP00000376544.3,CD79B; CD79B; CD79B,0
ENSP00000006777.6;ENSP00000391232.1;ENSP00000314144.4;ENSP00000403507.1,ENSP00000006777.6;ENSP00000391232.1;ENSP00000314144.4,RHBDD2; RHBDD2; RHBDD2; RHBDD2,5159900
ENSP00000007390.2,ENSP00000007390.2,TSR3,982070
ENSP00000376295.3;ENSP00000007414.3;ENSP00000479827.1,ENSP00000376295.3;ENSP00000007414.3,OSBPL7; OSBPL7; OSBPL7,3199000
ENSP00000458770.1;ENSP00000007516.2;ENSP00000454891.1,ENSP00000458770.1;ENSP00000007516.2,NDUFAB1; NDUFAB1; NDUFAB1,373200000
ENSP00000007699.5;ENSP00000459587.1,ENSP00000007699.5,YBX2; YBX2,1275600
ENSP00000007722.7;ENSP00000422826.2;ENSP00000426142.1;ENSP00000466652.1;ENSP00000425980.1,ENSP00000007722.7,ITGA3; ITGA3; ITGA3; ITGA3; ITGA3,42933000
ENSP00000390932.2;ENSP00000007969.8;ENSP00000317464.5,ENSP00000390932.2;ENSP00000007969.8;ENSP00000317464.5,LRRC23; LRRC23; LRRC23,0
ENSP00000008527.5;ENSP00000447738.1,ENSP00000008527.5,CRY1; CRY1,0
ENSP00000008938.3,ENSP00000008938.3,PGLYRP1,23370000
ENSP00000394000.1;ENSP00000379334.1;ENSP00000009041.7;ENSP00000402028.1;ENSP00000395455.1;ENSP00000411933.1,ENSP00000394000.1;ENSP00000379334.1;ENSP00000009041.7;ENSP00000402028.1,STARD3NL; STARD3NL; STARD3NL; STARD3NL; STARD3NL; STARD3NL,0
ENSP00000354861.2;ENSP00000009105.1;ENSP00000392173.1,ENSP00000354861.2;ENSP00000009105.1;ENSP00000392173.1,CAMK1G; CAMK1G; CAMK1G,0
ENSP00000371955.2;ENSP00000371959.4;ENSP00000371958.1;ENSP00000009180.4,ENSP00000371955.2;ENSP00000371959.4;ENSP00000371958.1;ENSP00000009180.4,CD9; CD9; CD9; CD9,1931200000
ENSP00000009530.7;ENSP00000430614.1;ENSP00000430654.1;ENSP00000429024.1;ENSP00000367026.3;ENSP00000429641.1;ENSP00000429478.1,ENSP00000009530.7;ENSP00000430614.1,CD74; CD74; CD74; CD74; CD74; CD74; CD74,5411500
ENSP00000427788.1;ENSP00000009589.3;ENSP00000478703.1;ENSP00000429374.1;ENSP00000428146.1;ENSP00000428104.1;ENSP00000429049.1;ENSP00000427860.1;ENSP00000429333.1,ENSP00000427788.1;ENSP00000009589.3;ENSP00000478703.1;ENSP00000429374.1;ENSP00000428146.1;ENSP00000428104.1,RPS20; RPS20; RPS20; RPS20; RPS20; RPS20; RPS20; RPS20; RPS20,1473700000
ENSP00000363065.5;ENSP00000010299.6;ENSP00000363060.1;ENSP00000436176.1;ENSP00000234549.7;ENSP00000395150.2;ENSP00000393171.1,ENSP00000363065.5;ENSP00000010299.6;ENSP00000363060.1;ENSP00000436176.1;ENSP00000234549.7;ENSP00000395150.2,FAM76A; FAM76A; FAM76A; FAM76A; FAM76A; FAM76A; FAM76A,1340600
ENSP00000379513.3;ENSP00000379512.1;ENSP00000379510.1;ENSP00000010404.2;ENSP00000442557.1;ENSP00000442970.1;ENSP00000438308.1;ENSP00000440443.1;ENSP00000437988.1;ENSP00000442767.1,ENSP00000379513.3;ENSP00000379512.1;ENSP00000379510.1;ENSP00000010404.2;ENSP00000442557.1;ENSP00000442970.1;ENSP00000438308.1,MGST1; MGST1; MGST1; MGST1; MGST1; MGST1; MGST1; MGST1; MGST1; MGST1,197790000
ENSP00000011292.3;ENSP00000419497.1;ENSP00000419408.1;ENSP00000475021.1;ENSP00000420218.1,ENSP00000011292.3;ENSP00000419497.1;ENSP00000419408.1,CPA1; CPA1; CPA1; CPA1; CPA1,18353000
ENSP00000011619.3,ENSP00000011619.3,RANBP9,14154000
ENSP00000011653.4;ENSP00000445167.1,ENSP00000011653.4,CD4; CD4,2273500
ENSP00000380185.3;ENSP00000011684.7;ENSP00000393194.2;ENSP00000442836.1;ENSP00000304640.8,ENSP00000380185.3;ENSP00000011684.7;ENSP00000393194.2;ENSP00000442836.1,PLEKHG6; PLEKHG6; PLEKHG6; PLEKHG6; PLEKHG6,594990
ENSP00000401115.1;ENSP00000011691.4,ENSP00000401115.1;ENSP00000011691.4,SS18L2; SS18L2,0
ENSP00000444799.1;ENSP00000011898.5;ENSP00000384488.1,ENSP00000444799.1;ENSP00000011898.5;ENSP00000384488.1,TSPAN9; TSPAN9; TSPAN9,18830000
ENSP00000012049.4;ENSP00000387944.2;ENSP00000467813.1,ENSP00000012049.4;ENSP00000387944.2;ENSP00000467813.1,QPCTL; QPCTL; QPCTL,4550400
ENSP00000356576.1;ENSP00000356575.2;ENSP00000012134.2,ENSP00000356576.1;ENSP00000356575.2;ENSP00000012134.2,HIVEP2; HIVEP2; HIVEP2,9254.5
ENSP00000434329.1;ENSP00000012443.4;ENSP00000375786.1,ENSP00000434329.1;ENSP00000012443.4;ENSP00000375786.1,PPP5C; PPP5C; PPP5C,66992000
ENSP00000376892.3;ENSP00000337060.3;ENSP00000013034.3,ENSP00000376892.3;ENSP00000337060.3;ENSP00000013034.3,NME1; NME1; NME1,1003800000
ENSP00000483908.1;ENSP00000013070.6;ENSP00000479570.1;ENSP00000391706.2;ENSP00000485983.1;ENSP00000451785.1;ENSP00000486093.1;ENSP00000452488.1;ENSP00000485686.1;ENSP00000451051.1;ENSP00000486968.1;ENSP00000451369.1;ENSP00000486462.1;ENSP00000451022.1;ENSP00000486939.1;ENSP00000450645.1,ENSP00000483908.1;ENSP00000013070.6;ENSP00000479570.1;ENSP00000391706.2,UBR7; UBR7; UBR7; NA; UBR7; UBR7; UBR7; UBR7; UBR7; UBR7; AL110118.4; AL110118.2; UBR7; UBR7; UBR7; UBR7,1449500
ENSP00000013125.4;ENSP00000451980.1;ENSP00000451452.1;ENSP00000451926.1;ENSP00000452289.1,ENSP00000013125.4,MAP4K5; MAP4K5; MAP4K5; MAP4K5; MAP4K5,2746700
ENSP00000386961.1;ENSP00000013222.5;ENSP00000456833.2;ENSP00000456039.1,ENSP00000386961.1;ENSP00000013222.5;ENSP00000456833.2;ENSP00000456039.1,INMT; INMT; INMT-MINDY4; INMT-MINDY4,0
ENSP00000014112.5;ENSP00000408096.1;ENSP00000349428.4;ENSP00000489604.1;ENSP00000342332.5;ENSP00000465652.2;ENSP00000486218.1;ENSP00000465451.1;ENSP00000478414.1;ENSP00000468565.3;ENSP00000466250.2;ENSP00000465825.1,ENSP00000014112.5;ENSP00000408096.1;ENSP00000349428.4;ENSP00000489604.1;ENSP00000342332.5,PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1; PTBP1,838260000
ENSP00000014914.5;ENSP00000441627.1,ENSP00000014914.5,GPRC5A; GPRC5A,4024000
ENSP00000014930.4;ENSP00000441678.1,ENSP00000014930.4;ENSP00000441678.1,HEBP1; HEBP1,366330000
ENSP00000377255.1;ENSP00000358824.1;ENSP00000358823.3;ENSP00000358822.1;ENSP00000309168.5;ENSP00000014935.3;ENSP00000393346.1;ENSP00000393000.1;ENSP00000416881.1;ENSP00000395591.1,ENSP00000377255.1;ENSP00000358824.1;ENSP00000358823.3;ENSP00000358822.1;ENSP00000309168.5;ENSP00000014935.3;ENSP00000393346.1,DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1; DNASE1L1,1492500
ENSP00000436367.1;ENSP00000015877.6;ENSP00000486475.1;ENSP00000387480.1,ENSP00000436367.1;ENSP00000015877.6;ENSP00000486475.1,ADARB1; ADARB1; ADARB1; ADARB1,4396700
ENSP00000359514.5;ENSP00000016171.5,ENSP00000359514.5;ENSP00000016171.5,COX15; COX15,11329000
