Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000466747.1;ENSP00000376753.3;ENSP00000340698.1;ENSP00000467077.1;ENSP00000376748.1;ENSP00000466312.1;ENSP00000468787.1;ENSP00000464879.1;ENSP00000466624.1;ENSP00000466105.1;ENSP00000465003.1,ENSP00000466747.1;ENSP00000376753.3;ENSP00000340698.1;ENSP00000467077.1;ENSP00000376748.1,GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1; GIPC1,144010000
ENSP00000340716.4,ENSP00000340716.4,RTN1,0
ENSP00000415433.2;ENSP00000378221.1;ENSP00000340737.5;ENSP00000481164.1;ENSP00000423618.1;ENSP00000412317.2;ENSP00000396729.1;ENSP00000396309.1;ENSP00000422048.1;ENSP00000422856.1,ENSP00000415433.2;ENSP00000378221.1;ENSP00000340737.5;ENSP00000481164.1,INTS12; INTS12; INTS12; INTS12; INTS12; INTS12; INTS12; INTS12; INTS12; INTS12,129730
ENSP00000475143.1;ENSP00000367529.1;ENSP00000367534.1;ENSP00000346423.4;ENSP00000474322.1;ENSP00000340740.4;ENSP00000474626.1;ENSP00000350366.3;ENSP00000367539.4;ENSP00000367537.4;ENSP00000367545.4,ENSP00000475143.1;ENSP00000367529.1;ENSP00000367534.1;ENSP00000346423.4;ENSP00000474322.1;ENSP00000340740.4;ENSP00000474626.1;ENSP00000350366.3;ENSP00000367539.4;ENSP00000367537.4;ENSP00000367545.4,TP73; TP73; TP73; TP73; TP73; TP73; TP73; TP73; TP73; TP73; TP73,0
ENSP00000340742.5;ENSP00000489124.1;ENSP00000489284.1;ENSP00000251157.6;ENSP00000489499.1;ENSP00000413583.2;ENSP00000483062.1;ENSP00000489037.1;ENSP00000488988.1;ENSP00000489412.1,ENSP00000340742.5;ENSP00000489124.1;ENSP00000489284.1;ENSP00000251157.6;ENSP00000489499.1;ENSP00000413583.2,DOCK7; DOCK7; DOCK7; DOCK7; DOCK7; DOCK7; DOCK7; DOCK7; DOCK7; DOCK7,16562000
ENSP00000340761.7,ENSP00000340761.7,BRI3BP,34750000
ENSP00000421358.2;ENSP00000340766.2;ENSP00000426915.1;ENSP00000356507.3;ENSP00000425133.1;ENSP00000388390.1;ENSP00000410254.3;ENSP00000422742.3;ENSP00000400220.2,ENSP00000421358.2;ENSP00000340766.2;ENSP00000426915.1;ENSP00000356507.3;ENSP00000425133.1;ENSP00000388390.1,SMG7; SMG7; SMG7; SMG7; SMG7; SMG7; SMG7; SMG7; SMG7,2156900
ENSP00000409117.1;ENSP00000340776.5;ENSP00000386258.1;ENSP00000386945.3;ENSP00000394019.1;ENSP00000413377.2,ENSP00000409117.1;ENSP00000340776.5,CFAP65; CFAP65; CFAP65; CFAP65; CFAP65; CFAP65,2831800
ENSP00000340796.4;ENSP00000359476.2;ENSP00000355318.5;ENSP00000378084.3,ENSP00000340796.4;ENSP00000359476.2,ZNF326; ZNF326; ZNF326; ZNF326,52509000
ENSP00000433102.1;ENSP00000352508.3;ENSP00000340797.3;ENSP00000445460.1;ENSP00000433070.1;ENSP00000437283.1,ENSP00000433102.1;ENSP00000352508.3;ENSP00000340797.3;ENSP00000445460.1,TRIM3; TRIM3; TRIM3; TRIM3; TRIM3; TRIM3,60458000
